"chr" "start" "end" "sample" "super_pop" "width" "index"
"NA21101" "1" 12345135.9 14444408.1 "NA21101" "SAS_" "0.109999999403954" 70
"NA21099" "1" 12345135.9 14444408.1 "NA21099" "SAS_" "0.109999999403954" 71
"NA21098" "1" 12345135.9 14444408.1 "NA21098" "SAS_" "0.109999999403954" 72
"NA21097" "1" 12345135.9 14444408.1 "NA21097" "SAS_" "0.109999999403954" 73
"NA21095" "1" 12345135.9 14444408.1 "NA21095" "SAS_" "0.109999999403954" 74
"NA21094" "1" 12345135.9 14444408.1 "NA21094" "SAS_" "0.109999999403954" 75
"NA21093" "1" 12345135.9 14444408.1 "NA21093" "SAS_" "0.109999999403954" 76
"NA21092" "1" 12345135.9 14444408.1 "NA21092" "SAS_" "0.109999999403954" 77
"NA21091" "1" 12345135.9 14444408.1 "NA21091" "SAS_" "0.109999999403954" 78
"NA21090" "1" 12345135.9 14444408.1 "NA21090" "SAS_" "0.109999999403954" 79
"NA21089" "1" 12345135.9 14444408.1 "NA21089" "SAS_" "0.109999999403954" 80
"NA21088" "1" 12345135.9 14444408.1 "NA21088" "SAS_" "0.109999999403954" 81
"NA21087" "1" 12345135.9 14444408.1 "NA21087" "SAS_" "0.109999999403954" 82
"NA21086" "1" 12345135.9 14444408.1 "NA21086" "SAS_" "0.109999999403954" 83
"NA20911" "1" 12345135.9 14444408.1 "NA20911" "SAS_" "0.109999999403954" 84
"NA20910" "1" 12345135.9 14444408.1 "NA20910" "SAS_" "0.109999999403954" 85
"NA20908" "1" 12345135.9 14444408.1 "NA20908" "SAS_" "0.109999999403954" 86
"NA20906" "1" 12345135.9 14444408.1 "NA20906" "SAS_" "0.109999999403954" 87
"NA20904" "1" 12345135.9 14444408.1 "NA20904" "SAS_" "0.109999999403954" 88
"NA20903" "1" 12345135.9 14444408.1 "NA20903" "SAS_" "0.109999999403954" 89
"NA20902" "1" 12345135.9 14444408.1 "NA20902" "SAS_" "0.109999999403954" 90
"NA20901" "1" 12345135.9 14444408.1 "NA20901" "SAS_" "0.109999999403954" 91
"NA20900" "1" 12345135.9 14444408.1 "NA20900" "SAS_" "0.109999999403954" 92
"NA20899" "1" 12345135.9 14444408.1 "NA20899" "SAS_" "0.109999999403954" 93
"NA20897" "1" 12345135.9 14444408.1 "NA20897" "SAS_" "0.109999999403954" 94
"NA20895" "1" 12345135.9 14444408.1 "NA20895" "SAS_" "0.109999999403954" 95
"NA20892" "1" 12345135.9 14444408.1 "NA20892" "SAS_" "0.109999999403954" 96
"NA20891" "1" 12345135.9 14444408.1 "NA20891" "SAS_" "0.109999999403954" 97
"NA20890" "1" 12345135.9 14444408.1 "NA20890" "SAS_" "0.109999999403954" 98
"NA20889" "1" 12345135.9 14444408.1 "NA20889" "SAS_" "0.109999999403954" 99
"NA20888" "1" 12345135.9 14444408.1 "NA20888" "SAS_" "0.109999999403954" 100
"NA20887" "1" 12345135.9 14444408.1 "NA20887" "SAS_" "0.109999999403954" 101
"NA20886" "1" 12345135.9 14444408.1 "NA20886" "SAS_" "0.109999999403954" 102
"NA20885" "1" 12345135.9 14444408.1 "NA20885" "SAS_" "0.109999999403954" 103
"NA20882" "1" 12345135.9 14444408.1 "NA20882" "SAS_" "0.109999999403954" 104
"NA20881" "1" 12345135.9 14444408.1 "NA20881" "SAS_" "0.109999999403954" 105
"NA20878" "1" 12345135.9 14444408.1 "NA20878" "SAS_" "0.109999999403954" 106
"NA20877" "1" 12345135.9 14444408.1 "NA20877" "SAS_" "0.109999999403954" 107
"NA20872" "1" 12345135.9 14444408.1 "NA20872" "SAS_" "0.109999999403954" 108
"NA20870" "1" 12345135.9 14444408.1 "NA20870" "SAS_" "0.109999999403954" 109
"NA20869" "1" 12345135.9 14444408.1 "NA20869" "SAS_" "0.109999999403954" 110
"NA20868" "1" 12345135.9 14444408.1 "NA20868" "SAS_" "0.109999999403954" 111
"NA20867" "1" 12345135.9 14444408.1 "NA20867" "SAS_" "0.109999999403954" 112
"NA20866" "1" 12345135.9 14444408.1 "NA20866" "SAS_" "0.109999999403954" 113
"NA20864" "1" 12345135.9 14444408.1 "NA20864" "SAS_" "0.109999999403954" 114
"NA20863" "1" 12345135.9 14444408.1 "NA20863" "SAS_" "0.109999999403954" 115
"NA20862" "1" 12345135.9 14444408.1 "NA20862" "SAS_" "0.109999999403954" 116
"NA20861" "1" 12345135.9 14444408.1 "NA20861" "SAS_" "0.109999999403954" 117
"NA20859" "1" 12345135.9 14444408.1 "NA20859" "SAS_" "0.109999999403954" 118
"NA20858" "1" 12345135.9 14444408.1 "NA20858" "SAS_" "0.109999999403954" 119
"NA20854" "1" 12345135.9 14444408.1 "NA20854" "SAS_" "0.109999999403954" 120
"NA20853" "1" 12345135.9 14444408.1 "NA20853" "SAS_" "0.109999999403954" 121
"NA20852" "1" 12345135.9 14444408.1 "NA20852" "SAS_" "0.109999999403954" 122
"NA20850" "1" 12345135.9 14444408.1 "NA20850" "SAS_" "0.109999999403954" 123
"NA20849" "1" 12345135.9 14444408.1 "NA20849" "SAS_" "0.109999999403954" 124
"NA20847" "1" 12345135.9 14444408.1 "NA20847" "SAS_" "0.109999999403954" 125
"NA20846" "1" 12345135.9 14444408.1 "NA20846" "SAS_" "0.109999999403954" 126
"NA20845" "1" 12345135.9 14444408.1 "NA20845" "SAS_" "0.109999999403954" 127
"HG04239" "1" 12345135.9 14444408.1 "HG04239" "SAS_" "0.109999999403954" 128
"HG04238" "1" 12345135.9 14444408.1 "HG04238" "SAS_" "0.109999999403954" 129
"HG04235" "1" 12345135.9 14444408.1 "HG04235" "SAS_" "0.109999999403954" 130
"HG04229" "1" 12345135.9 14444408.1 "HG04229" "SAS_" "0.109999999403954" 131
"HG04227" "1" 12345135.9 14444408.1 "HG04227" "SAS_" "0.109999999403954" 132
"HG04225" "1" 12345135.9 14444408.1 "HG04225" "SAS_" "0.109999999403954" 133
"HG04222" "1" 12345135.9 14444408.1 "HG04222" "SAS_" "0.109999999403954" 134
"HG04219" "1" 12345135.9 14444408.1 "HG04219" "SAS_" "0.109999999403954" 135
"HG04216" "1" 12345135.9 14444408.1 "HG04216" "SAS_" "0.109999999403954" 136
"HG04212" "1" 12345135.9 14444408.1 "HG04212" "SAS_" "0.109999999403954" 137
"HG04211" "1" 12345135.9 14444408.1 "HG04211" "SAS_" "0.109999999403954" 138
"HG04210" "1" 12345135.9 14444408.1 "HG04210" "SAS_" "0.109999999403954" 139
"HG04209" "1" 12345135.9 14444408.1 "HG04209" "SAS_" "0.109999999403954" 140
"HG04206" "1" 12345135.9 14444408.1 "HG04206" "SAS_" "0.109999999403954" 141
"HG04202" "1" 12345135.9 14444408.1 "HG04202" "SAS_" "0.109999999403954" 142
"HG04200" "1" 12345135.9 14444408.1 "HG04200" "SAS_" "0.109999999403954" 143
"HG04198" "1" 12345135.9 14444408.1 "HG04198" "SAS_" "0.109999999403954" 144
"HG04195" "1" 12345135.9 14444408.1 "HG04195" "SAS_" "0.109999999403954" 145
"HG04194" "1" 12345135.9 14444408.1 "HG04194" "SAS_" "0.109999999403954" 146
"HG04189" "1" 12345135.9 14444408.1 "HG04189" "SAS_" "0.109999999403954" 147
"HG04186" "1" 12345135.9 14444408.1 "HG04186" "SAS_" "0.109999999403954" 148
"HG04185" "1" 12345135.9 14444408.1 "HG04185" "SAS_" "0.109999999403954" 149
"HG04183" "1" 12345135.9 14444408.1 "HG04183" "SAS_" "0.109999999403954" 150
"HG04182" "1" 12345135.9 14444408.1 "HG04182" "SAS_" "0.109999999403954" 151
"HG04180" "1" 12345135.9 14444408.1 "HG04180" "SAS_" "0.109999999403954" 152
"HG04177" "1" 12345135.9 14444408.1 "HG04177" "SAS_" "0.109999999403954" 153
"HG04176" "1" 12345135.9 14444408.1 "HG04176" "SAS_" "0.109999999403954" 154
"HG04173" "1" 12345135.9 14444408.1 "HG04173" "SAS_" "0.109999999403954" 155
"HG04171" "1" 12345135.9 14444408.1 "HG04171" "SAS_" "0.109999999403954" 156
"HG04164" "1" 12345135.9 14444408.1 "HG04164" "SAS_" "0.109999999403954" 157
"HG04162" "1" 12345135.9 14444408.1 "HG04162" "SAS_" "0.109999999403954" 158
"HG04161" "1" 12345135.9 14444408.1 "HG04161" "SAS_" "0.109999999403954" 159
"HG04158" "1" 12345135.9 14444408.1 "HG04158" "SAS_" "0.109999999403954" 160
"HG04156" "1" 12345135.9 14444408.1 "HG04156" "SAS_" "0.109999999403954" 161
"HG04155" "1" 12345135.9 14444408.1 "HG04155" "SAS_" "0.109999999403954" 162
"HG04153" "1" 12345135.9 14444408.1 "HG04153" "SAS_" "0.109999999403954" 163
"HG04152" "1" 12345135.9 14444408.1 "HG04152" "SAS_" "0.109999999403954" 164
"HG04146" "1" 12345135.9 14444408.1 "HG04146" "SAS_" "0.109999999403954" 165
"HG04144" "1" 12345135.9 14444408.1 "HG04144" "SAS_" "0.109999999403954" 166
"HG04141" "1" 12345135.9 14444408.1 "HG04141" "SAS_" "0.109999999403954" 167
"HG04140" "1" 12345135.9 14444408.1 "HG04140" "SAS_" "0.109999999403954" 168
"HG04134" "1" 12345135.9 14444408.1 "HG04134" "SAS_" "0.109999999403954" 169
"HG04131" "1" 12345135.9 14444408.1 "HG04131" "SAS_" "0.109999999403954" 170
"HG04107" "1" 12345135.9 14444408.1 "HG04107" "SAS_" "0.109999999403954" 171
"HG04106" "1" 12345135.9 14444408.1 "HG04106" "SAS_" "0.109999999403954" 172
"HG04100" "1" 12345135.9 14444408.1 "HG04100" "SAS_" "0.109999999403954" 173
"HG04099" "1" 12345135.9 14444408.1 "HG04099" "SAS_" "0.109999999403954" 174
"HG04098" "1" 12345135.9 14444408.1 "HG04098" "SAS_" "0.109999999403954" 175
"HG04096" "1" 12345135.9 14444408.1 "HG04096" "SAS_" "0.109999999403954" 176
"HG04094" "1" 12345135.9 14444408.1 "HG04094" "SAS_" "0.109999999403954" 177
"HG04093" "1" 12345135.9 14444408.1 "HG04093" "SAS_" "0.109999999403954" 178
"HG04090" "1" 12345135.9 14444408.1 "HG04090" "SAS_" "0.109999999403954" 179
"HG04080" "1" 12345135.9 14444408.1 "HG04080" "SAS_" "0.109999999403954" 180
"HG04076" "1" 12345135.9 14444408.1 "HG04076" "SAS_" "0.109999999403954" 181
"HG04075" "1" 12345135.9 14444408.1 "HG04075" "SAS_" "0.109999999403954" 182
"HG04070" "1" 12345135.9 14444408.1 "HG04070" "SAS_" "0.109999999403954" 183
"HG04063" "1" 12345135.9 14444408.1 "HG04063" "SAS_" "0.109999999403954" 184
"HG04062" "1" 12345135.9 14444408.1 "HG04062" "SAS_" "0.109999999403954" 185
"HG04061" "1" 12345135.9 14444408.1 "HG04061" "SAS_" "0.109999999403954" 186
"HG04060" "1" 12345135.9 14444408.1 "HG04060" "SAS_" "0.109999999403954" 187
"HG04059" "1" 12345135.9 14444408.1 "HG04059" "SAS_" "0.109999999403954" 188
"HG04056" "1" 12345135.9 14444408.1 "HG04056" "SAS_" "0.109999999403954" 189
"HG04054" "1" 12345135.9 14444408.1 "HG04054" "SAS_" "0.109999999403954" 190
"HG04042" "1" 12345135.9 14444408.1 "HG04042" "SAS_" "0.109999999403954" 191
"HG04039" "1" 12345135.9 14444408.1 "HG04039" "SAS_" "0.109999999403954" 192
"HG04038" "1" 12345135.9 14444408.1 "HG04038" "SAS_" "0.109999999403954" 193
"HG04035" "1" 12345135.9 14444408.1 "HG04035" "SAS_" "0.109999999403954" 194
"HG04033" "1" 12345135.9 14444408.1 "HG04033" "SAS_" "0.109999999403954" 195
"HG04029" "1" 12345135.9 14444408.1 "HG04029" "SAS_" "0.109999999403954" 196
"HG04026" "1" 12345135.9 14444408.1 "HG04026" "SAS_" "0.109999999403954" 197
"HG04025" "1" 12345135.9 14444408.1 "HG04025" "SAS_" "0.109999999403954" 198
"HG04023" "1" 12345135.9 14444408.1 "HG04023" "SAS_" "0.109999999403954" 199
"HG04022" "1" 12345135.9 14444408.1 "HG04022" "SAS_" "0.109999999403954" 200
"HG04020" "1" 12345135.9 14444408.1 "HG04020" "SAS_" "0.109999999403954" 201
"HG04018" "1" 12345135.9 14444408.1 "HG04018" "SAS_" "0.109999999403954" 202
"HG04017" "1" 12345135.9 14444408.1 "HG04017" "SAS_" "0.109999999403954" 203
"HG04015" "1" 12345135.9 14444408.1 "HG04015" "SAS_" "0.109999999403954" 204
"HG04014" "1" 12345135.9 14444408.1 "HG04014" "SAS_" "0.109999999403954" 205
"HG04006" "1" 12345135.9 14444408.1 "HG04006" "SAS_" "0.109999999403954" 206
"HG04003" "1" 12345135.9 14444408.1 "HG04003" "SAS_" "0.109999999403954" 207
"HG04002" "1" 12345135.9 14444408.1 "HG04002" "SAS_" "0.109999999403954" 208
"HG04001" "1" 12345135.9 14444408.1 "HG04001" "SAS_" "0.109999999403954" 209
"HG03999" "1" 12345135.9 14444408.1 "HG03999" "SAS_" "0.109999999403954" 210
"HG03998" "1" 12345135.9 14444408.1 "HG03998" "SAS_" "0.109999999403954" 211
"HG03995" "1" 12345135.9 14444408.1 "HG03995" "SAS_" "0.109999999403954" 212
"HG03991" "1" 12345135.9 14444408.1 "HG03991" "SAS_" "0.109999999403954" 213
"HG03990" "1" 12345135.9 14444408.1 "HG03990" "SAS_" "0.109999999403954" 214
"HG03989" "1" 12345135.9 14444408.1 "HG03989" "SAS_" "0.109999999403954" 215
"HG03986" "1" 12345135.9 14444408.1 "HG03986" "SAS_" "0.109999999403954" 216
"HG03985" "1" 12345135.9 14444408.1 "HG03985" "SAS_" "0.109999999403954" 217
"HG03978" "1" 12345135.9 14444408.1 "HG03978" "SAS_" "0.109999999403954" 218
"HG03977" "1" 12345135.9 14444408.1 "HG03977" "SAS_" "0.109999999403954" 219
"HG03976" "1" 12345135.9 14444408.1 "HG03976" "SAS_" "0.109999999403954" 220
"HG03974" "1" 12345135.9 14444408.1 "HG03974" "SAS_" "0.109999999403954" 221
"HG03973" "1" 12345135.9 14444408.1 "HG03973" "SAS_" "0.109999999403954" 222
"HG03971" "1" 12345135.9 14444408.1 "HG03971" "SAS_" "0.109999999403954" 223
"HG03969" "1" 12345135.9 14444408.1 "HG03969" "SAS_" "0.109999999403954" 224
"HG03968" "1" 12345135.9 14444408.1 "HG03968" "SAS_" "0.109999999403954" 225
"HG03965" "1" 12345135.9 14444408.1 "HG03965" "SAS_" "0.109999999403954" 226
"HG03963" "1" 12345135.9 14444408.1 "HG03963" "SAS_" "0.109999999403954" 227
"HG03960" "1" 12345135.9 14444408.1 "HG03960" "SAS_" "0.109999999403954" 228
"HG03955" "1" 12345135.9 14444408.1 "HG03955" "SAS_" "0.109999999403954" 229
"HG03953" "1" 12345135.9 14444408.1 "HG03953" "SAS_" "0.109999999403954" 230
"HG03951" "1" 12345135.9 14444408.1 "HG03951" "SAS_" "0.109999999403954" 231
"HG03950" "1" 12345135.9 14444408.1 "HG03950" "SAS_" "0.109999999403954" 232
"HG03949" "1" 12345135.9 14444408.1 "HG03949" "SAS_" "0.109999999403954" 233
"HG03947" "1" 12345135.9 14444408.1 "HG03947" "SAS_" "0.109999999403954" 234
"HG03945" "1" 12345135.9 14444408.1 "HG03945" "SAS_" "0.109999999403954" 235
"HG03944" "1" 12345135.9 14444408.1 "HG03944" "SAS_" "0.109999999403954" 236
"HG03943" "1" 12345135.9 14444408.1 "HG03943" "SAS_" "0.109999999403954" 237
"HG03941" "1" 12345135.9 14444408.1 "HG03941" "SAS_" "0.109999999403954" 238
"HG03940" "1" 12345135.9 14444408.1 "HG03940" "SAS_" "0.109999999403954" 239
"HG03931" "1" 12345135.9 14444408.1 "HG03931" "SAS_" "0.109999999403954" 240
"HG03928" "1" 12345135.9 14444408.1 "HG03928" "SAS_" "0.109999999403954" 241
"HG03926" "1" 12345135.9 14444408.1 "HG03926" "SAS_" "0.109999999403954" 242
